latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-20.98609,44.53432,333.4,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,300.93,3.23,D
-20.75382,46.07251,341.33,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,300.75,3.69,D
-21.05461,44.57631,331.5,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,303.7,2.77,D
-20.87325,45.81924,336.51,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.29,2.09,D
-20.95437,45.36261,335.2,0.39,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,308.24,3.06,D
-20.81013,46.29046,331.31,0.4,0.37,2023-04-16,1041,N20,VIIRS,l,2.0NRT,303.34,1.85,D
-21.07961,44.94806,338.94,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,300.07,8.02,D
-21.16751,44.70261,347.51,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.64,7.14,D
-21.11467,45.04979,344,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,307.41,5.87,D
-21.17027,44.70688,338.65,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,300.37,3.78,D
-21.32446,44.40247,333.41,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.47,2.81,D
-21.25587,45.8228,343.04,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.4,6.35,D
-21.38178,45.4735,332.96,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,302.8,1.63,D
-21.57086,44.41011,344.14,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,309.57,6.58,D
-21.69267,45.22022,333.32,0.38,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,304.8,2.68,D
-21.692,45.24678,331.16,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.83,2.96,D
-21.69474,45.25107,335.17,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.08,4.61,D
-21.78765,45.13045,334.8,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,302.82,1.91,D
-21.80212,45.78276,341.83,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,305.61,4.14,D
-22.09484,44.69183,344,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,310.28,16.53,D
-21.92433,46.04446,334.16,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.87,2.68,D
-22.15484,44.60617,336.48,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,303.02,3.34,D
-22.26812,44.61885,342.77,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.44,4.32,D
-22.19736,45.13444,349.57,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.12,6.82,D
-22.26584,44.70289,338.7,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.5,1.85,D
-22.20011,45.13875,348.23,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,301.45,4.08,D
-22.20342,45.13933,338.83,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,299.56,4.08,D
-22.15626,45.51322,344.34,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,307.18,7.78,D
-22.29798,44.67008,335.82,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.34,2.66,D
-22.3013,44.67065,337.09,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,307.19,2.66,D
-22.30906,44.66432,333.78,0.39,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,307.18,2.76,D
-22.31405,44.65367,346.95,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,307.41,12.83,D
-22.27144,44.9602,330.08,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,300.47,0.95,D
-22.36787,44.5899,331.01,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,301.14,2.31,D
-21.92387,45.15276,338.52,0.54,0.42,2023-04-17,1019,N20,VIIRS,n,2.0NRT,303.06,4.31,D
-20.37444,44.61111,333.46,0.55,0.43,2023-04-17,1019,N20,VIIRS,n,2.0NRT,290.39,5.15,D
-20.36128,44.77456,335.26,0.54,0.42,2023-04-17,1019,N20,VIIRS,n,2.0NRT,302.41,6.9,D
-20.36315,44.76609,332.56,0.54,0.42,2023-04-17,1019,N20,VIIRS,n,2.0NRT,300.95,4.81,D
-20.36186,44.77659,333.62,0.54,0.42,2023-04-17,1019,N20,VIIRS,n,2.0NRT,301.81,3.46,D
-20.74286,45.32843,333.82,0.51,0.41,2023-04-17,1019,N20,VIIRS,n,2.0NRT,302.37,5.83,D
-20.88782,44.52008,330.19,0.56,0.43,2023-04-17,1019,N20,VIIRS,n,2.0NRT,301.59,4.39,D
-20.93019,44.55585,332.08,0.56,0.43,2023-04-17,1019,N20,VIIRS,l,2.0NRT,303.38,15.77,D
-20.92959,44.59419,333.37,0.56,0.43,2023-04-17,1019,N20,VIIRS,n,2.0NRT,302.16,8.82,D
